Sample,units,config,C3pre,C4pre,C5pre,C6pre,C7pre,C8pre,C3post,C4post,C5post,C6post,C7post,C8post,PFOS,C3MDL,C4MDL,C5MDL,C6MDL,C7MDL,C8MDL,PFOSMDL,C3err,C4err,C5err,C6err,C7err,C8err,PFOSerr
ASHPD-KIGAM-124N-010E-050,nM,AFFF_impacted_targeted.yaml,0.067230047,0.103003802,0.100031949,0.056721763,0.120411622,0.078056156,0.118497653,0.170494297,0.270638978,0.070853994,0.146755448,0.088423326,0.473046092,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-KIGAM-124N-010E-100,nM,AFFF_impacted_targeted.yaml,0.099483568,0.162775665,0.167444089,0.100358127,0.205205811,0.152742981,0.147887324,0.225019011,0.36,0.103333333,0.219297821,0.152742981,0.655671343,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-GWOUT-L-N-LW,nM,AFFF_impacted_targeted.yaml,0.037605634,0.060114068,0.07884984,0.035730028,0.08157385,0.006825054,0.064131455,0.083878327,0.151948882,0.040165289,0.088765133,0.006825054,0.124028056,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-GWOUT-L-N-015,nM,AFFF_impacted_targeted.yaml,0.052253521,0.090228137,0.114153355,0.047933884,0.10566586,0.009028078,0.064413146,0.106539924,0.171948882,0.052975207,0.114116223,0.009136069,0.13004008,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-GWOUT-L-N-030,nM,AFFF_impacted_targeted.yaml,0.066338028,0.05973384,0.072428115,0.036363636,0.095326877,0.009762419,0.077605634,0.064448669,0.116517572,0.03768595,0.099128329,0.010302376,0.135671343,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-GWOUT-L-N-050,nM,AFFF_impacted_targeted.yaml,0.028450704,0.007376426,0.008690096,0.006942149,0.031355932,0.005356371,0.028450704,0.007376426,0.049105431,0.006942149,0.035762712,0.005939525,0.1098998,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-GWOUT-L-N-100,nM,AFFF_impacted_targeted.yaml,0.057887324,0.003878327,0.002332268,0.00137741,0.003898305,0.000885529,0.057887324,0.003878327,0.036900958,0.00137741,0.006416465,0.000885529,0.086432866,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-GWOUT-R-S-015,nM,AFFF_impacted_targeted.yaml,0.050046948,0.084220532,0.106070288,0.047134986,0.100435835,0.011792657,0.058215962,0.092281369,0.171948882,0.047134986,0.105302663,0.012073434,0.250701403,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-GWOUT-R-S-100,nM,AFFF_impacted_targeted.yaml,0.04,0.059847909,0.108210863,0.057575758,0.106610169,0.010863931,0.04,0.068897338,0.159041534,0.057575758,0.108813559,0.011036717,0.150480962,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ASHPD-GWOUT-R-N-LW,nM,AFFF_impacted_targeted.yaml,0.023943662,0.06095057,0.078913738,0.034628099,0.078837772,0.006479482,0.064225352,0.085437262,0.143929712,0.036363636,0.083922518,0.007451404,0.106012024,0.057887324,0.022661597,0.034472843,0.005922865,0.003292978,0.001641469,0.003887776,0.1,0.1,0.1,0.1,0.1,0.1,0.1
